New Internal ID	Year	Genus	Species	Serovar	Source (site)	Source (national)	ST	Plasmids	Ceftriaxone CRO (R≤ 19)	Meropenem (R≤ 19)	Ampicillin (R≤ 13)	Gentamicin (R≤ 12)	Ciprofloxacin (R≤ 21)	Tetracycline (R≤ 11)	Chloramphenicol (R≥ 32 )	Colistin  (≥ 4) 	Trimethoprim-Sulfamethoxazole ( ≥4)	Amoxicillin-clavulanic acid -Amoclan (≥32/16)	Azithromycin (≥32)	Nalidixic acid (≥32)	Aminoglycoside	triclosan	fosfomycin	peptide antibiotic	Glycopeptide	nucleoside antibiotic, disinfecting agents and antiseptics	fluoroquinolone antibiotic	elfamycin antibiotic	nitroimidazole antibiotic	cephalosporin, penam	cephalosporin, cephamycin, penam	aminoglycoside antibiotic, aminocoumarin antibiotic	fluoroquinolone antibiotic, tetracycline antibiotic	macrolide antibiotic, fluoroquinolone antibiotic, penam	tetracycline antibiotic, benzalkonium chloride, rhodamine	fluoroquinolone antibiotic, diaminopyrimidine antibiotic, phenicol antibiotic	monobactam, carbapenem, cephalosporin, cephamycin, penam, phenicol antibiotic, penem	macrolide antibiotic, fluoroquinolone antibiotic, cephalosporin, cephamycin, penam, tetracycline antibiotic	macrolide antibiotic, aminoglycoside antibiotic, cephalosporin, tetracycline antibiotic, peptide antibiotic, rifamycin antibiotic	fluoroquinolone antibiotic, cephalosporin, glycylcycline, penam, tetracycline antibiotic, rifamycin antibiotic, phenicol antibiotic, triclosan	fluoroquinolone antibiotic, monobactam, carbapenem, cephalosporin, glycylcycline, cephamycin, penam, tetracycline antibiotic, rifamycin antibiotic, phenicol antibiotic, triclosan, penem	monobactam, cephalosporin, penam, penem	Tetracycline	  Disinfectant            	Sulphonamide	cephalosporin	Beta-lactam   	Acridine dye, disinfecting agents and intercalating dyes	Macrolide, Lincosamide and streptogramin B 	Phenicol 	diaminopyrimidine antibiotic	macrolide	aminocoumarin antibiotic	fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	fluoroquinolone antibiotic; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics
SAL_201904_199	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S), IncFII(S)	<0.25 S 	<0.25 S 	<2 S 	<0.25 S 	<0.25 S 	4 R	16 S	0.25 S 	4 R	<2 S	2 S	>512 R 	AAC(6')-Iy, kdpE,  acrD	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201904_200	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	Col(KPHS6),Col(MP18),Col156,ColpVC,IncFII(S)	<0.25 S 	<0.25 S 	<2 S 	<0.25 S 	1 S 	<0.5 S 	8 S 	<0.25 S 	2 S	64 R	2 S	>512 R 	AAC(6')-Iy, kdpE,  acrD	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin,mdtG	bacA, PmrF, ArnT,ugd,eptA,YojI	vanG	leuO,mdtP,mdtO,mdtN	emrB, emrR, emrA, MdtK,MdtH	-	msbA	ampC beta-lactamase	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP,gadXgadW,mdtF,mdtE	Escherichia coli mdfA	-	golS, mdsA,mdsB,mdsC	H-NS	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		emrK,emrY	-	-	-	-	-	-	-		emrE	mdtA,mdtB,mdtC	mdtM	evgS,evgA		AcrF, AcrE	AcrS	TolC
SAL_201904_201	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S), IncFII(S)	19 R	<0.25 S 	6 R	6 R	21 R	4 R	6 R	0.5 S 	4 R	>512 R 	32 R	>512 R 	AAC(6')-Iy, kdpE,  acrD	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201904_202	2019	Salmonella	Enterica	Typhimurium	Human stool	Lebanon	229	IncFIB(S), IncFII(S)	<1 S 	<0.25 S 	6 R	6 R 	20 R	4 R	6 R 	<0.25 S 	16 R	512 R 	4 S	>512 R 	AAC(6')-Iy, kdpE,  AAC(3)-IIe, APH(3'')-Ib,	-	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	EF-Tu mutants 	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	adeF	CRP	Escherichia coli mdfA	rsmA	golS, mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	sul2	-	-	-	Inu (G)	-			mdtB,mdtC	mdtM					
SAL_201904_203	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S)	<1 S 	<0.25 S 	<2 S 	<0.25 S 	<0.25 S 	4 R	16 S	0.5 S 	4 R	2 S	2 S	>512 R 	AAC(6')-Iy, kdpE,  acrD	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201904_204	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S), IncFII(S)	<1 S 	<0.25 S 	<2 S 	<0.25 S 	1 S 	4 R	16 S	0.5 S 	2 S	<2 S	4 S	8 S	AAC(6')-Iy, kdpE,  acrD	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201904_205	2019	Salmonella	Enterica	Salamae	Human stool	Lebanon	2116	IncFIB(AP001918),IncFII(S),IncFIA,Col156,Col(MG828)	<1 S 	<0.25 S 	<2 S 	<0.25 S 	<0.25 S 	<0.5 S 	8 S 	0.25 S 	2 S	<2 S 	4 S	>512 R 	AAC(6')-Iy, kdpE,  acrD	-	 GlpT  , UhpT with mutation conferring resistance to fosfomycin,mdtG	bacA, PmrF, ArnT,ugd,eptA,YojI	vanG	leuO,mdtP,mdtO,mdtN	emrB, emrR, emrA, MdtH, parC, gyrA	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	adeF	CRP, mdtF,mdtE	Escherichia coli mdfA	-	golS	H-NS	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		emrK,emrY,tet(A)	-	-	-	-	-	-	-		emrE	mdtA,mdtB,mdtC	mdtM	evgS,evgA		AcrF, AcrE	AcrS	TolC
SAL_201904_206	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S)	<1 S 	<0.25 S 	<2 S 	<0.25 S 	1 S 	4 R	16 S	0.25 S 	8 R	2 S	4 S	>512 R 	AAC(6')-Iy, kdpE,  acrD	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201904_207	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S), IncFII(S)	<1 S 	<0.25 S 	<2 S 	<0.25 S 	<0.25 S 	4 R	16 S	<0.25 S 	2 S	2 S	2 S	512 R 	AAC(6')-Iy, kdpE,  acrD	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201904_208	2019	Salmonella	Enterica	Saintpaul	Human stool	Lebanon	2492		<1 S 	<0.25 S 	<2 S 	<0.25 S 	1 S 	4 R	8 S 	0.5 S 	>512 R 	<2 S	2 S	8 S 	AAC(6')-Iaa kdpE,  acrD	-	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201904_209	2019	Salmonella	Enterica	Senftenberg	Human stool	Lebanon	Unknown	Col(pHAD28)	<1 S 	<0.25 S 	>32 R 	<1 R 	<0.25 S 	1 S 	128 R	0.25 S 	64 R	32 R	>512 R 	>512 R 	kdpE,  acrD	-	 GlpT  , UhpT with mutation conferring resistance to fosfomycin,FosA7	bacA, PmrF, ArnT,ugd	vanG	leuO	MdtK	EF-Tu mutants 	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201904_210	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S), IncFII(S)	<1 S 	<0.25 S 	<2 S 	<1 R 	<0.25 S 	1 S 	32 R 	0.5 S 	2 S	<2 S 	>512 R 	>512 R 	AAC(6')-Iy, kdpE,  acrD	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	EF-Tu mutants 	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201904_211	2019	Salmonella	Enterica	Senftenberg	Human stool	Lebanon	Unknown	Col(pHAD28)	<1 S 	<0.25 S 	<2 S 	<1 R 	2 R	<0.5 S 	128 R	2 S 	32 R	<2 S	>512 R 	>512 R 	AAC(6')-Iy, kdpE,  acrD	-	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrR, emrA, MdtK	EF-Tu mutants 	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	adeF	CRP	-	rsmA	golS, mdsA	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM		 KpnH			
SAL_201905_212	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S), IncFII(S), Col(pHAD28)	<1 S 	<0.25 S 	<2 S 	<1 R 	<0.25 S 	<0.5 S 	32 R 	0.25 S 	1 S 	<2 S 	>512 R 	>512 R 	AAC(6')-Iy, kdpE,  acrD	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201905_213	2019	Salmonella	Enterica	Senftenberg	Human stool	Lebanon	14	IncFIB(S), IncFII(S), Col(pHAD28)	1 S 	0.25 S 	2 S 	1 R 	0.25 S 	1 S 	128 R 	0.5 S 	64 R	32 R	>512 R 	>512 R 	AAC(6')-Iy, kdpE,  acrD	-	-	bacA, ArnT,ugd	vanG	leuO	 emrR, emrA	-	msbA	-	-	baeR	adeF	CRP	Escherichia coli mdfA	rsmA	golS, mdsA	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM		 KpnH			
SAL_201905_214	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S), IncFII(S)	<1 S	<0.25 S 	<2 S 	<1 R 	<0.25 S 	1 S	16 S	<0.25 S 	4 R	<2 S 	4 S 	>512 R 	AAC(6')-Iy, kdpE,  acrD	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201905_215	2019	Salmonella	Enterica	Senftenberg	Human stool	Lebanon	14	Col(pHAD28)	1 S 	0.25 S 	2 S 	1 R 	0.25 S 	1 S 	64 R 	0.5 S 	256 R 	<2 S 	4 S 	>512 R 	AAC(6')-Iy, kdpE,  acrD	-	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201905_216	2019	Salmonella	Enterica	Senftenberg	Human stool	Lebanon	3614	Col(MG828),ColRNAI	<1 S 	<0.25 S 	<2 S 	<1 R 	<0.25 S 	1 S 	32 R 	<0.25 S 	4 R	<2 S	8 S 	8 S 	AAC(6')-Iy, kdpE,  acrD	-	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201905_217	2019	Salmonella	Enterica	Senftenberg	Human stool	Lebanon	3614	Col(MG828),ColRNAI,Col(pHAD28)	1 S 	0.25 S 	2 S 	1 R 	4 R 	32 R 	128 R 	2 S 	32 R	32 R	8 S 	>512 R 	kdpE,  acrD	-	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	-	leuO	emrB, emrR,MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR	adeF	CRP	Escherichia coli mdfA	rsmA	golS, mdsA	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM		 KpnH			
SAL_201905_218	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S), IncFII(S)	<1 S 	<0.25 S 	<2 S 	<1 R 	<0.25 S 	<0.5 S 	16 S	0.25 S 	4 R	<2 S 	4 S	>512 R 	AAC(6')-Iy, kdpE,  acrD	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201906_219	2019	Salmonella	Enterica	Senftenberg	Human stool	Lebanon	14	Col(MG828),ColRNAI,Col(pHAD28)	<1 S 	<0.25 S 	<2 S 	<1 R 	>4 R 	<0.5 S 	256 R 	8 R 	16 R	32 R	4 S	>512 R 	AAC(6')-Iy, kdpE,  acrD	-	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201906_220	2019	Salmonella	Enterica	Senftenberg	Human stool	Lebanon	14	Col(pHAD28)	1  S	0.25 S 	4 R	1 R 	0.25 S 	1 S 	64 R 	<0.25 S	64 R	32 R	4 S	>512 R 	AAC(6')-Iy, kdpE,  acrD	-	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	EF-Tu mutants 	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201906_221	2019	Salmonella	Enterica	Typhimurium	Human stool	Lebanon	34	Col(MG828),Col156,Col440I,ColRNAI,IncFIA,IncFII,IncQ1	2 S	<0.25 S 	>32 R 	<1 R 	1 S 	1 S 	512 R	8 R 	4 R	<2 S 	2 S	>512 R 	aac(6')-Iaa,APH(6)-Id, kdpE,  acrD	-	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO,mdtP,mdtO	emrB, emrR, emrA, MdtK,QnrB19	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP,gadW	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation	TEM-1	emrK,tet(A),tet(B), tetR	-	sul2	-	-	-	-	-			mdtB,mdtC	mdtM			AcrE	AcrS	
SAL_201906_222	2019	Salmonella	Enterica	Typhimurium	Human stool	Lebanon	376	IncFIB(S), IncFII(S)	<1 S 	<0.25 S 	>32 R 	>16 R 	<0.25 S 	4 R	>512 R 	0.25 S 	64 R	32 R	4 S	256 R 	AAC(6')-Iaa,AAC(3)-Iie,APH(3'')-Ib,APH(6)-Id, kdpE,  acrD	-	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	EF-Tu mutants 	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation	TEM-1	tet(B), tetR	-	sul2	-	-	-	Inu (G)	floR			mdtB,mdtC	mdtM					
SAL_201906_223	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S), IncFII(S)	<1 S 	<0.25 S 	<2 S 	<1 R 	<0.25 S 	1 S	16 S	1 S 	>512 R 	<2 S 	2 S 	16 S 	AAC(6')-Iy, kdpE,  acrD	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201906_224	2019	Salmonella	Enterica	Senftenberg	Human stool	Lebanon	3614	-	<1 S 	<0.25 S 	<2 S 	<1 R 	<0.25 S 	32 R 	64 R 	<0.25 S 	4 R	<2 S 	2 S 	>512 R 	AAC(6')-Iy, kdpE,  acrD	-	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	H-NS	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201906_225	2019	Salmonella	Enterica	Senftenberg	Human stool	Lebanon	3614	-	<1 S 	<0.25 S 	<2 S 	<1 R 	<0.25 S 	1 S 	32 R 	0.25 S 	>512 R 	<2 S 	4 S 	8 S 	AAC(6')-Iy, kdpE,  acrD	-	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201906_226	2019	Salmonella	Enterica	Senftenberg	Human stool	Lebanon	3614	-	<1 S 	<0.25 S 	<2 S 	<1 R 	<0.25 S 	32 R 	64 R	0.25 S 	2 S	<2 S 	2 S 	>512 R 	AAC(6')-Iy, kdpE,  acrD	-	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201906_227	2019	Salmonella	Enterica	Salamae	Human stool	Lebanon	2116	IncFII(S)	<1 S 	<0.25 S 	<2 S 	<1 R 	<0.25 S 	<0.5 S 	64 R 	0.5 S 	4 R	<2 S 	2 S 	>512 R 	AAC(6')-Iy, kdpE,  acrD	-	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	adeF	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	H-NS	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
